Designator,Mid X,Mid Y,Rotation,Layer
Brd1,68.58,-73.66,270.0,top
J1,116.84,-40.64,0.0,top
U1,92.1525,-47.3475,90.0,top
U2,111.76,-101.6,180.0,top
